gene,mean_expression,variance,rank
RNASE1,0.2785145087294383,0.7819112283673678,441
C4orf3,1.0074664931809112,0.7814815440635847,442
MORF4L1,1.0829144900859902,0.7798234669473951,443
RPL37,2.679918779648253,0.7795229739940988,444
ANXA5,0.9295167053113152,0.7779536222837938,445
GNAI2,0.6844859130787568,0.7762203197152652,446
C19orf53,1.0466656709003337,0.7757787220248022,447
XIST,0.5286502536484443,0.7749177494299392,448
RBX1,1.087218476765122,0.7747551559381058,449
ROMO1,0.952434085657263,0.774464359995732,450
CRIP2,0.6376607746052433,0.7738489451946247,451
NDUFV2,0.9306681661037867,0.7730065250574872,452
AURKAIP1,1.0168235279209907,0.7714373016378824,453
APRT,0.979435201670336,0.7708619218855493,454
PTMA,2.928490312197315,0.7708589155536032,455
TMEM213,0.47326483625496096,0.7706907435663404,456
PPP1CB,0.892560853813735,0.7706429188994721,457
SERPINA1,0.44315698742867055,0.7696308148717693,458
GLS,0.732808000692934,0.7695080938692332,459
RPS6,2.7745421839739812,0.7692900709787605,460
SDC4,0.7170761571009194,0.7684612721473143,461
HIST1H4C,0.6796384683952018,0.7678157174299423,462
RPS7,2.7162378753640652,0.7664213264518782,463
ERP29,0.9457422275531069,0.7662649608473977,464
SRP9,0.9822924187792144,0.7657871005118215,465
ACTN4,0.8082356198305056,0.7655492833494157,466
CD52,0.3413101925156163,0.7651348970536599,467
PRELID1,0.8612814752158778,0.7647647030146194,468
CD151,0.7416921305933212,0.764385062616374,469
ZFAS1,0.8521178958398917,0.7641529307330626,470
TPT1,3.396622938379883,0.7632894356170183,471
SNRPG,0.9843982443881547,0.7631026001089279,472
SPTBN1,0.6760575842200904,0.7630647047141945,473
HNRNPK,1.0409957276806976,0.7630401746794104,474
AQP1,0.3718417954096463,0.7626346886119656,475
RPL28,3.264103049050392,0.762069150478764,476
RPS13,2.845368063759868,0.7616523606784735,477
RPL31,0.9485336822068511,0.7607600986054206,478
COA3,0.7835005260686762,0.7605912447872493,479
ETFB,0.8144205502830731,0.7602224248175933,480
SNX3,0.9528306240916808,0.7601360418186108,481
WNK1,0.5300534913637045,0.7596247077267939,482
SMDT1,0.9551853669132508,0.7586452508037209,483
SET,0.9135862969539434,0.7574705627943622,484
PABPC1,0.8406127328017294,0.7569154396500585,485
TUBB4B,0.7845135358377107,0.7547410618793419,486
H2AFZ,0.8744411726526744,0.7545446939463167,487
HLA-DQB1,0.4016885924715721,0.7535528211384666,488
ZFP36L2,0.6617439654325664,0.7533507497864826,489
PGK1,0.9318930220913496,0.752666016578273,490
CLDN7,0.6292760669311559,0.752325332094191,491
FKBP1A,0.8116060666494112,0.7522880947036752,492
ARGLU1,0.743144923005599,0.7517546765812779,493
KTN1,0.8117316710298405,0.7515557063584312,494
PSMA7,0.9635716840566049,0.7513926500858586,495
MRPS6,0.6946263175941646,0.7513585059385886,496
AHNAK,0.7155447259746519,0.7508455715576777,497
SPCS2,0.942127071275917,0.7507290931853859,498
ZBTB20,0.6564050319131736,0.7505218372264695,499
ERH,0.9782933998130925,0.7502655505170297,500
ATPIF1,0.3949274552502516,0.7501918672420613,501
AKR1A1,0.6073502769682341,0.7496421824751904,502
PTGES3,1.0001240665334326,0.7485600893760291,503
ANAPC16,0.9424799314159776,0.7477108289692356,504
DYNLT1,0.8810534922542912,0.7475742732422259,505
ATP5J,0.4002652365176671,0.747246918361008,506
RAN,0.9242375781518913,0.747118273106298,507
NUCKS1,0.8635338100620904,0.7469190691263575,508
HSPA5,0.7417297665509875,0.7463317728992496,509
PCBD1,0.7809215641721811,0.7458171939575055,510
RPL29,2.8213568341494346,0.745602351107947,511
RHOC,0.7531702579896535,0.745237099123754,512
GADD45B,0.5094486486953541,0.7447270675139308,513
ZNHIT1,0.9297928570980557,0.7446247182934599,514
RPL26,3.0725849290194467,0.7445260593123741,515
MPC1,0.7143637885423922,0.743865277773761,516
RPS25,2.690331167891994,0.743773287015304,517
MRPS21,0.9595289080941398,0.7432075915033655,518
NDUFAB1,0.8772509847175619,0.7426708438275247,519
C9orf16,0.8554271669458984,0.7423836052172748,520
RPL7A,2.9190578191867003,0.7410911523292594,521
VDAC1,0.8509402182625423,0.7399406413911596,522
PSMB1,0.9797672581175316,0.7394577575123439,523
ARL6IP4,0.9889094273808106,0.7384532876166998,524
COPS9,0.7422609906678258,0.7367154078739411,525
VPS28,0.9658190507171943,0.7362655779109399,526
C4orf48,0.6759176904214291,0.7357162535513904,527
GRN,0.7537554551924904,0.7350785782127419,528
RPL35A,2.7331528761181016,0.7347432447913196,529
PPP1R14B,0.7776884301927821,0.7336823707755366,530
NDUFS7,0.8747638709569685,0.7329728825400242,531
COBLL1,0.5873768089633976,0.7325185346167563,532
