gene,mean_expr_CKD,mean_expr_AKI,diff_mean_expr,pct_expr_CKD,pct_expr_AKI,pct_expr_diff,p_value,adj_p_value,importance,combined_score,direction
B2M,3.4141215082124887,3.6190487434810303,-0.20492723526854162,0.9562179121505989,0.9524761381240318,0.0037417740265671684,7.31037199210365e-65,4.3086671859157075e-64,0.0014351423095086,6.973104080385332e-05,UP_in_AKI
SRP14,2.1323553247288825,2.0147387807987025,0.11761654393017995,0.8860049439056855,0.8451851481685073,0.0408197957371782,1.9991873109313848e-34,6.25397490385209e-34,0.0004368065787501,6.963326750484304e-05,UP_in_CKD
NR4A1,0.12387344766100122,0.09899552979084968,0.024877917870151547,0.09493249667237118,0.06596371995402528,0.0289687767183459,1.6790073245986304e-09,2.5791203142836102e-09,0.0112382081954599,6.956007082734956e-05,UP_in_CKD
HLA-A,1.8165927086318756,1.7099060813133686,0.10668662731850698,0.8207358813462635,0.7689770626155614,0.051758818730702094,3.3324091427875944e-23,7.871832620758096e-23,0.0005696412782777,6.9528870769358e-05,UP_in_CKD
CCL4,0.11077834173625813,0.27931397895423116,-0.16853563721797304,0.04092983456930976,0.08750187396931687,-0.04657203940000711,1.5945927943984024e-97,1.5481483440761188e-96,9.23908834521898e-05,6.947968059118408e-05,UP_in_AKI
NAPA,0.4386710618770606,0.34783583560677483,0.09083522627028578,0.3629492298916144,0.27644795362550595,0.08650127626610843,1.0295074352573351e-47,4.313578639346376e-47,0.0001904510036914,6.93828072446139e-05,UP_in_CKD
SAR1A,0.4821337091385983,0.3838731989441085,0.09826051019448984,0.3875736832097357,0.29938533806406475,0.08818834514567092,9.980537295515729e-51,4.462237240916123e-50,0.0001621997945141,6.936359620262697e-05,UP_in_CKD
CPEB4,0.3610549086170735,0.26623916651328877,0.09481574210378474,0.29363947518539646,0.20773574534006298,0.08590372984533348,2.0834278188112638e-57,1.072089786695333e-56,0.0001517361850312,6.917276620752292e-05,UP_in_CKD
TOMM20,0.8668769346127599,0.7688347493120152,0.09804218530074471,0.5889427647841795,0.5030733096796762,0.08586945510450328,4.313582705776916e-33,1.303197192077618e-32,0.0002559318549712,6.87008827732254e-05,UP_in_CKD
CTSS,0.255793832164128,0.38251969574311884,-0.12672586357899085,0.1613424605438296,0.20113937334466045,-0.039796912800830836,9.84625442407011e-62,5.460030179706161e-61,0.0002254528063471,6.852035916286015e-05,UP_in_AKI
